256 256
0 0 -1
0 1 -4
0 2 -6
0 3 -7
0 4 -3
0 6 3
0 7 1
0 8 6
0 9 -3
0 10 8
0 11 -9
0 12 3
0 13 3
0 14 -1
0 15 -6
0 16 -4
0 17 -7
0 19 -2
0 20 5
0 21 -10
0 22 -7
0 23 1
0 24 -3
0 25 -10
0 26 -6
0 27 -10
0 29 3
0 30 3
0 31 -7
0 32 7
0 33 -5
0 34 -4
0 35 -3
0 36 5
0 37 -7
0 38 6
0 40 9
0 41 -7
0 42 -9
0 43 6
0 44 -3
0 45 5
0 46 6
0 47 1
0 48 4
0 49 3
0 50 2
0 51 -2
0 52 -1
0 53 -7
0 54 -8
0 55 9
0 56 -7
0 57 6
0 59 -1
0 60 -4
0 61 2
0 62 -7
0 63 4
0 64 2
0 65 9
0 66 -5
0 67 -1
0 68 2
0 69 5
0 70 5
0 71 4
0 72 -8
0 74 7
0 75 -9
0 76 9
0 77 -3
0 78 -4
0 79 5
0 80 6
0 81 -4
0 82 7
0 83 8
0 84 -10
0 85 2
0 86 -4
0 87 -2
0 88 -3
0 89 5
0 90 -4
0 91 -3
0 92 -2
0 93 8
0 94 -2
0 95 9
0 96 7
0 97 9
0 98 -3
0 99 -4
0 100 -8
0 101 1
0 102 -3
0 103 -6
0 104 1
0 105 3
0 106 -2
0 107 2
0 108 8
0 109 -3
0 110 -5
0 111 1
0 112 2
0 113 4
0 115 1
0 116 2
0 117 8
0 118 -10
0 119 7
0 120 -2
0 121 -10
0 122 9
0 123 -1
0 124 -7
0 125 -3
0 126 10
0 127 -1
0 128 -4
0 129 2
0 130 -10
0 131 -1
0 132 7
0 133 2
0 134 1
0 135 6
0 136 -5
0 137 5
0 138 -1
0 139 1
0 140 -7
0 141 5
0 142 10
0 143 -6
0 144 -7
0 145 -4
0 146 -8
0 147 1
0 148 1
0 149 -10
0 150 4
0 151 10
0 152 1
0 154 1
0 155 -5
0 157 5
0 158 -5
0 159 -10
0 160 -3
0 161 10
0 162 10
0 163 8
0 164 6
0 165 4
0 166 -7
0 167 6
0 168 -5
0 169 -4
0 170 -9
0 171 -2
0 172 5
0 173 -6
0 174 -3
0 175 4
0 176 -4
0 177 7
0 178 -2
0 179 -8
0 180 -9
0 181 -8
0 183 1
0 184 10
0 185 -10
0 186 8
0 187 -8
0 188 4
0 189 2
0 190 8
0 191 -5
0 192 3
0 193 6
0 194 6
0 195 8
0 196 -7
0 197 6
0 198 6
0 199 -6
0 200 9
0 201 7
0 202 5
0 203 -1
0 204 8
0 205 -8
0 206 4
0 207 3
0 208 -8
0 209 -9
0 210 -1
0 211 -4
0 212 9
0 213 -10
0 215 -7
0 216 2
0 217 -10
0 218 6
0 219 2
0 220 3
0 221 7
0 223 -5
0 224 3
0 225 2
0 226 5
0 227 -7
0 228 -8
0 229 -9
0 230 -2
0 231 -7
0 232 3
0 233 5
0 234 -1
0 235 1
0 236 -1
0 237 -8
0 238 -6
0 239 5
0 240 3
0 241 6
0 242 -6
0 243 3
0 244 2
0 245 -3
0 246 5
0 247 -7
0 248 2
0 250 -3
0 251 2
0 252 2
0 253 -8
0 254 -9
0 255 -10
1 0 10
1 1 6
1 2 -3
1 4 8
1 5 -9
1 6 -8
1 7 -4
1 8 -9
1 9 -7
1 10 2
1 11 -10
1 12 -8
1 13 -7
1 14 -2
1 15 -7
1 16 -9
1 17 1
1 18 9
1 19 8
1 20 5
1 21 2
1 22 10
1 23 9
1 24 5
1 25 8
1 26 -8
1 27 2
1 28 -7
1 29 -1
1 30 -4
1 31 -6
1 32 4
1 33 -6
1 34 3
1 35 -10
1 36 6
1 37 -7
1 38 3
1 39 7
1 40 2
1 41 -2
1 42 6
1 43 -9
1 44 9
1 45 2
1 46 -10
1 48 -8
1 49 9
1 50 -3
1 51 -5
1 52 9
1 54 5
1 55 -1
1 56 7
1 57 9
1 58 10
1 59 -8
1 60 2
1 61 6
1 62 -4
1 63 -9
1 64 -7
1 65 -6
1 66 9
1 67 -1
1 68 -5
1 69 -7
1 70 -7
1 71 6
1 72 -10
1 73 -10
1 74 10
1 75 -5
1 76 10
1 77 3
1 78 -5
1 79 -4
1 80 10
1 81 -8
1 82 -9
1 83 2
1 84 7
1 85 10
1 86 3
1 87 6
1 88 -5
1 89 7
1 90 8
1 91 -5
1 92 -7
1 94 4
1 95 -3
1 96 -8
1 97 -4
1 98 -4
1 99 9
1 100 -5
1 101 8
1 102 -7
1 103 -6
1 104 3
1 105 5
1 106 1
1 107 -8
1 108 -3
1 109 -2
1 110 -2
1 111 -3
1 112 -8
1 113 -5
1 114 9
1 115 -3
1 116 -3
1 117 3
1 118 5
1 119 -9
1 120 -4
1 121 -9
1 122 -7
1 123 2
1 124 -8
1 125 -7
1 126 -8
1 127 -6
1 128 10
1 129 -4
1 130 1
1 131 -3
1 132 1
1 133 -6
1 134 4
1 135 -8
1 136 6
1 137 1
1 138 -6
1 139 7
1 140 10
1 141 10
1 142 -7
1 144 -9
1 145 4
1 146 4
1 147 -1
1 148 -6
1 149 -2
1 150 2
1 151 4
1 152 9
1 154 10
1 155 6
1 156 3
1 157 -7
1 158 -4
1 159 9
1 160 1
1 161 -6
1 162 -7
1 163 -8
1 164 -9
1 165 -7
1 166 -5
1 167 4
1 168 -5
1 169 7
1 170 -3
1 171 -9
1 172 6
1 173 8
1 174 10
1 175 -5
1 176 -1
1 177 8
1 178 7
1 179 1
1 180 5
1 181 3
1 182 -6
1 183 -2
1 184 -3
1 185 6
1 187 -6
1 188 6
1 189 3
1 190 -5
1 191 2
1 192 -6
1 193 7
1 194 -6
1 195 1
1 196 -10
1 198 -10
1 199 7
1 200 -1
1 201 6
1 202 8
1 203 -10
1 204 -2
1 205 7
1 206 -10
1 207 -7
1 208 -7
1 209 -5
1 210 -6
1 212 -2
1 214 -6
1 215 -8
1 216 -7
1 217 -6
1 218 4
1 219 -10
1 220 6
1 221 -5
1 222 4
1 223 -7
1 224 1
1 225 3
1 226 7
1 227 6
1 228 -5
1 229 2
1 230 2
1 231 -3
1 232 -5
1 233 -5
1 234 9
1 235 -10
1 236 -1
1 237 -2
1 238 5
1 239 2
1 240 5
1 241 -8
1 242 -5
1 243 4
1 244 2
1 246 10
1 247 -1
1 248 10
1 249 9
1 250 6
1 251 8
1 252 -8
1 253 -8
1 254 5
1 255 -4
2 0 3
2 1 8
2 2 9
2 3 -5
2 4 1
2 5 7
2 6 1
2 7 6
2 8 -7
2 9 9
2 10 -9
2 11 4
2 12 -5
2 13 -1
2 14 -10
2 15 -5
2 16 -1
2 17 -10
2 18 -10
2 19 -6
2 20 2
2 21 9
2 22 10
2 23 -6
2 24 8
2 25 5
2 26 -10
2 27 1
2 28 -10
2 29 8
2 30 10
2 31 10
2 32 -5
2 33 2
2 34 4
2 35 9
2 36 -8
2 37 8
2 38 2
2 39 -2
2 40 -6
2 41 -10
2 42 -10
2 43 2
2 44 7
2 45 3
2 46 -2
2 47 5
2 48 3
2 49 -4
2 50 -9
2 51 6
2 52 -7
2 53 8
2 55 -7
2 56 1
2 57 -7
2 58 8
2 59 -6
2 60 4
2 61 -6
2 62 8
2 64 9
2 65 -10
2 66 -2
2 68 1
2 69 7
2 70 -10
2 71 2
2 72 -2
2 73 -4
2 74 -5
2 75 -7
2 76 7
2 77 5
2 78 -8
2 79 -3
2 80 10
2 81 3
2 82 -3
2 83 -10
2 84 8
2 85 10
2 86 -8
2 87 -10
2 88 -9
2 89 -2
2 90 -6
2 91 7
2 92 2
2 93 -7
2 94 -10
2 95 8
2 96 1
2 97 -8
2 98 3
2 99 -5
2 100 -7
2 101 10
2 102 -6
2 103 8
2 104 8
2 105 4
2 106 3
2 107 -2
2 108 -7
2 109 -5
2 110 -10
2 111 8
2 112 6
