64 64
0 0 10
0 1 -2
0 2 3
0 3 -5
0 4 10
0 5 -1
0 6 -5
0 7 4
0 8 9
0 10 9
0 11 8
0 12 6
0 13 -1
0 14 8
0 15 3
0 16 -2
0 17 -3
0 18 -5
0 19 8
0 21 -7
0 23 -5
0 24 -10
0 25 5
0 26 -5
0 28 4
0 29 -1
0 30 8
0 31 -7
0 32 -10
0 33 -5
0 34 1
0 35 -1
0 37 2
0 38 -4
0 39 -5
0 40 -2
0 42 5
0 43 7
0 44 -2
0 45 -3
0 46 1
0 47 -8
0 48 -8
0 49 -7
0 50 -2
0 51 1
0 52 -6
0 53 -4
0 54 -7
0 55 -2
0 56 1
0 57 2
0 58 -10
0 59 -10
0 60 -1
0 61 3
0 62 3
0 63 -4
1 0 -1
1 1 -2
1 2 -5
1 3 8
1 4 2
1 5 -6
1 6 -6
1 7 6
1 9 -5
1 10 9
1 11 -3
1 12 10
1 13 2
1 14 -8
1 15 4
1 16 5
1 17 -5
1 18 3
1 19 10
1 20 3
1 22 -1
1 23 -4
1 24 -7
1 25 10
1 26 6
1 27 -9
1 28 -1
1 29 10
1 30 -10
1 31 -3
1 32 -1
1 33 9
1 34 -5
1 35 5
1 36 -2
1 37 -6
1 38 -8
1 39 -6
1 40 -10
1 41 -1
1 42 7
1 43 -10
1 44 -3
1 45 10
1 46 7
1 47 8
1 48 6
1 49 -3
1 50 -4
1 51 -10
1 52 -6
1 53 7
1 54 6
1 55 -5
1 56 -6
1 57 -7
1 58 7
1 59 -8
1 60 -7
1 61 5
1 62 -1
1 63 6
2 0 10
2 1 -2
2 2 -3
2 3 -10
2 4 9
2 6 9
2 7 -4
2 8 9
2 9 7
2 10 -5
2 11 8
2 13 10
2 14 10
2 15 -3
2 16 8
2 17 6
2 18 6
2 19 8
2 20 3
2 21 -4
2 22 2
2 23 -8
2 24 7
2 25 -8
2 26 10
2 27 10
2 28 8
2 29 -6
2 31 2
2 32 7
2 33 -6
2 34 -9
2 35 -7
2 36 1
2 37 -10
2 38 1
2 39 4
2 40 -5
2 41 3
2 42 -9
2 43 6
2 44 -4
2 45 -7
2 46 2
2 47 -2
2 48 -7
2 50 -4
2 51 -6
